b,a,la,lb
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#barcelona>,"Barcelona"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#barcelona>,"Barcelona"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#real-madrid>,"Real Madrid"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#real-madrid>,"Real Madrid"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#liverpool>,"Liverpool FC"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#liverpool>,"Liverpool FC"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#liverpool>,"Liverpool"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#liverpool>,"Liverpool"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#luis-suarez>,"Luis Suarez"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#luis-suarez>,"Luis Suarez"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#luis-suarez>,"luis suarez"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#luis-suarez>,"luis suarez"@en,"luis suarez"@en
<http://bk.sport.owl#queens-park-rangers>,<http://bk.sport.owl#bristol-city>,"Bristol City"@en,"Queens Park Rangers"@en
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#paul-verhaegh>,"Paul Verhaegh"@en,"levin oztunali"@en
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#paul-verhaegh>,"Paul Verhaegh"@en,"oztunali"
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#paul-verhaegh>,"paul verhaegh"@en,"levin oztunali"@en
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#paul-verhaegh>,"paul verhaegh"@en,"oztunali"
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#paul-verhaegh>,"Verhaegh","levin oztunali"@en
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#paul-verhaegh>,"Verhaegh","oztunali"
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#marcel>,"marcel"@en,"levin oztunali"@en
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#marcel>,"marcel"@en,"oztunali"
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#marcel>,"Marcel"@en,"levin oztunali"@en
<http://bk.sport.owl#levin-oztunali>,<http://bk.sport.owl#marcel>,"Marcel"@en,"oztunali"
<http://bk.sport.owl#saints>,<http://bk.sport.owl#west-bromwich-albion-fc>,"West Bromwich Albion"@en,"Saints"@en
<http://bk.sport.owl#saints>,<http://bk.sport.owl#southampton>,"Southampton"@en,"Saints"@en
<http://bk.sport.owl#saints>,<http://bk.sport.owl#southampton>,"Southampton FC"@en,"Saints"@en
<http://bk.sport.owl#saints>,<http://bk.sport.owl#west-bromwich-albion>,"West Bromwich Albion"@en,"Saints"@en
<http://bk.sport.owl#saints>,<http://bk.sport.owl#southampton-fc>,"Southampton"@en,"Saints"@en
<http://bk.sport.owl#saints>,<http://bk.sport.owl#real-madrid>,"Real Madrid"@en,"Saints"@en
<http://bk.sport.owl#saints>,<http://bk.sport.owl#saints>,"Saints"@en,"Saints"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#marco-reus>,"Marco Reus"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#marco-reus>,"Marco Reus"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#marco-reus>,"marco reus"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#marco-reus>,"marco reus"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#marco-reus>,"Reus","Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#marco-reus>,"Reus","emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#borussia-dortmund>,"Borussia Dortmund"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#borussia-dortmund>,"Borussia Dortmund"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#dortmund>,"Dortmund"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#dortmund>,"Dortmund"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#raphael-guerreiro>,"raphael guerreiro"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#raphael-guerreiro>,"raphael guerreiro"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#stefan-bell>,"Stefan Bell"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#stefan-bell>,"Stefan Bell"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#stefan-bell>,"stefan bell"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#stefan-bell>,"stefan bell"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#stefan-bell>,"Bell","Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#stefan-bell>,"Bell","emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#dortmund-fc>,"Dortmund"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#dortmund-fc>,"Dortmund"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#sokratis>,"Sokratis","Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#sokratis>,"Sokratis","emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"emil forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#levin-oztunali>,"oztunali","Emil Forsberg"@en
<http://bk.sport.owl#emil-forsberg>,<http://bk.sport.owl#levin-oztunali>,"oztunali","emil forsberg"@en
<http://bk.sport.owl#dan-burn>,<http://bk.sport.owl#ben-amos>,"Ben Amos"@en,"dan burn"@en
<http://bk.sport.owl#dan-burn>,<http://bk.sport.owl#derik-osede>,"Derik Osede"@en,"dan burn"@en
<http://bk.sport.owl#dan-burn>,<http://bk.sport.owl#oscar-threlkeld>,"Oscar Threlkeld"@en,"dan burn"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#marco-reus>,"Marco Reus"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#marco-reus>,"Marco Reus"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#marco-reus>,"Marco Reus"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#marco-reus>,"marco reus"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#marco-reus>,"marco reus"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#marco-reus>,"marco reus"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#marco-reus>,"Reus","Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#marco-reus>,"Reus","arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#marco-reus>,"Reus","Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#rb-leipzig>,"RB Leipzig"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#rb-leipzig>,"RB Leipzig"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#rb-leipzig>,"RB Leipzig"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#yuya-osako>,"Yuya Osako"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#yuya-osako>,"Yuya Osako"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#yuya-osako>,"Yuya Osako"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#yuya-osako>,"yuya osako"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#yuya-osako>,"yuya osako"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#yuya-osako>,"yuya osako"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#yuya-osako>,"Osako","Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#yuya-osako>,"Osako","arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#yuya-osako>,"Osako","Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#borussia-dortmund>,"Borussia Dortmund"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#borussia-dortmund>,"Borussia Dortmund"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#borussia-dortmund>,"Borussia Dortmund"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#fc-bayern-munich-fc>,"FC Bayern Munich"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#fc-bayern-munich-fc>,"FC Bayern Munich"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#fc-bayern-munich-fc>,"FC Bayern Munich"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#fc-bayern-munich>,"FC Bayern Munich"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#fc-bayern-munich>,"FC Bayern Munich"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#fc-bayern-munich>,"FC Bayern Munich"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#dortmund>,"Dortmund"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#dortmund>,"Dortmund"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#dortmund>,"Dortmund"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#raphael-guerreiro>,"raphael guerreiro"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#raphael-guerreiro>,"raphael guerreiro"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#raphael-guerreiro>,"raphael guerreiro"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#stefan-bell>,"Stefan Bell"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#stefan-bell>,"Stefan Bell"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#stefan-bell>,"Stefan Bell"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#stefan-bell>,"stefan bell"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#stefan-bell>,"stefan bell"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#stefan-bell>,"stefan bell"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#stefan-bell>,"Bell","Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#stefan-bell>,"Bell","arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#stefan-bell>,"Bell","Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#dortmund-fc>,"Dortmund"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#dortmund-fc>,"Dortmund"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#dortmund-fc>,"Dortmund"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#sokratis>,"Sokratis","Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#sokratis>,"Sokratis","arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#sokratis>,"Sokratis","Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#thomas>,"Thomas"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#thomas>,"Thomas"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#thomas>,"Thomas"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#thomas>,"thomas"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#thomas>,"thomas"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#thomas>,"thomas"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#thomas>,"Thomas","Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#thomas>,"Thomas","arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#thomas>,"Thomas","Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#timo-werner>,"Timo Werner"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#timo-werner>,"Timo Werner"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#timo-werner>,"Timo Werner"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#timo-werner>,"timo werner"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#timo-werner>,"timo werner"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#timo-werner>,"timo werner"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#timo-werner>,"Werner","Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#timo-werner>,"Werner","arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#timo-werner>,"Werner","Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#levin-oztunali>,"oztunali","Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#levin-oztunali>,"oztunali","arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#levin-oztunali>,"oztunali","Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#emil-forsberg>,"Emil Forsberg"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#emil-forsberg>,"Emil Forsberg"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#emil-forsberg>,"Emil Forsberg"@en,"Robben"
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#emil-forsberg>,"emil forsberg"@en,"Arjen Robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#emil-forsberg>,"emil forsberg"@en,"arjen robben"@en
<http://bk.sport.owl#arjen-robben>,<http://bk.sport.owl#emil-forsberg>,"emil forsberg"@en,"Robben"
